EmployeeNumber,BurnoutRisk,Priority,Urgency_Note,Num_Interventions,Interventions
170,Medium,HIGH,"Key drivers: below-average work-life balance, very low job satisfaction, 5 years without promotion, long tenure with low satisfaction.",6,Offer optional wellness / mindfulness sessions | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Fast-track promotion review or provide stretch assignments | Offer sabbatical leave or role rotation programme | Implement a peer-recognition and rewards programme
171,Low,WATCH,"Key drivers: poor environment satisfaction, frequent business travel.",2,Gather anonymous feedback on workplace conditions | Reduce business travel frequency or offer travel allowance
174,Low,WATCH,Key drivers: frequent business travel.,1,Reduce business travel frequency or offer travel allowance
175,Medium,MODERATE,"Key drivers: working overtime, poor environment satisfaction.",3,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Gather anonymous feedback on workplace conditions
176,Medium,MODERATE,Key drivers: working overtime.,2,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling
177,Low,WATCH,"Key drivers: low monthly income (financial stress), 5 years without promotion.",3,Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Fast-track promotion review or provide stretch assignments
178,Medium,MODERATE,"Key drivers: low job satisfaction, poor environment satisfaction.",2,Schedule a manager-employee feedback session | Gather anonymous feedback on workplace conditions
179,Medium,MODERATE,"Key drivers: very poor environment satisfaction, frequent business travel.",3,Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Reduce business travel frequency or offer travel allowance
182,Low,WATCH,Key drivers: 5 years without promotion.,1,Fast-track promotion review or provide stretch assignments
183,Medium,MODERATE,Key drivers: very poor environment satisfaction.,2,Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement
184,High,CRITICAL,"Key drivers: working overtime, very poor work-life balance.",7,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Enrol in mandatory Employee Wellness Programme | Assign a dedicated HR wellness check-in (bi-weekly) | Discuss career growth pathway and set a promotion timeline | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan
190,Medium,HIGH,"Key drivers: very low job satisfaction, very poor environment satisfaction.",4,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement
192,Low,WATCH,Key drivers: below-average work-life balance.,1,Offer optional wellness / mindfulness sessions
193,Medium,MODERATE,Key drivers: working overtime.,2,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling
194,Medium,HIGH,"Key drivers: below-average work-life balance, very poor environment satisfaction, low monthly income (financial stress).",5,Offer optional wellness / mindfulness sessions | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
195,Low,WATCH,Key drivers: frequent business travel.,1,Reduce business travel frequency or offer travel allowance
197,Medium,MODERATE,Key drivers: very low job satisfaction.,3,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Implement a peer-recognition and rewards programme
198,Medium,MODERATE,"Key drivers: poor environment satisfaction, low monthly income (financial stress).",3,Gather anonymous feedback on workplace conditions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
199,Medium,HIGH,"Key drivers: below-average work-life balance, very low job satisfaction, 7 years without promotion, frequent business travel.",6,Offer optional wellness / mindfulness sessions | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Fast-track promotion review or provide stretch assignments | Reduce business travel frequency or offer travel allowance | Implement a peer-recognition and rewards programme
200,Medium,HIGH,"Key drivers: very low job satisfaction, low monthly income (financial stress).",4,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
201,Medium,HIGH,"Key drivers: low job satisfaction, poor environment satisfaction, low monthly income (financial stress).",5,Schedule a manager-employee feedback session | Gather anonymous feedback on workplace conditions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Implement a peer-recognition and rewards programme
202,Medium,HIGH,"Key drivers: low job satisfaction, poor environment satisfaction, long tenure with low satisfaction, frequent business travel.",5,Schedule a manager-employee feedback session | Gather anonymous feedback on workplace conditions | Offer sabbatical leave or role rotation programme | Reduce business travel frequency or offer travel allowance | Implement a peer-recognition and rewards programme
204,Low,WATCH,Key drivers: low job satisfaction.,2,Schedule a manager-employee feedback session | Implement a peer-recognition and rewards programme
205,High,CRITICAL,"Key drivers: working overtime, very poor work-life balance, poor environment satisfaction, low monthly income (financial stress).",10,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Enrol in mandatory Employee Wellness Programme | Assign a dedicated HR wellness check-in (bi-weekly) | Gather anonymous feedback on workplace conditions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Discuss career growth pathway and set a promotion timeline | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan
